time_range,rank,artist_name,spotify_id,spotify_uri,spotify_url
medium_term,3,Paramore,74XFHRwlV6OrjEM0A2NCMF,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,https://open.spotify.com/artist/74XFHRwlV6OrjEM0A2NCMF
medium_term,4,ConcernedApe,2PqkSKtPxs112KDZdRXGO2,spotify:artist:2PqkSKtPxs112KDZdRXGO2,https://open.spotify.com/artist/2PqkSKtPxs112KDZdRXGO2
medium_term,5,BOYS LIKE GIRLS,0vWCyXMrrvMlCcepuOJaGI,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,https://open.spotify.com/artist/0vWCyXMrrvMlCcepuOJaGI
medium_term,6,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,https://open.spotify.com/artist/4UXqAaa6dQYAk18Lv7PEgX
medium_term,7,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j
medium_term,8,Evanescence,5nGIFgo0shDenQYSE0Sn7c,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,https://open.spotify.com/artist/5nGIFgo0shDenQYSE0Sn7c
medium_term,9,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,spotify:artist:181bsRPaVXVlUKXrxwZfHK,https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK
medium_term,10,Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,spotify:artist:3PyJHH2wyfQK3WZrk9rpmP,https://open.spotify.com/artist/3PyJHH2wyfQK3WZrk9rpmP
medium_term,11,Cardi B,4kYSro6naA4h99UJvo89HB,spotify:artist:4kYSro6naA4h99UJvo89HB,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB
medium_term,12,The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,spotify:artist:3vAaWhdBR38Q02ohXqaNHT,https://open.spotify.com/artist/3vAaWhdBR38Q02ohXqaNHT
medium_term,13,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,https://open.spotify.com/artist/4NiJW4q9ichVqL1aUsgGAN
medium_term,14,PierceTheSkies,3aJN1nL3j6SlzSwYti3bvq,spotify:artist:3aJN1nL3j6SlzSwYti3bvq,https://open.spotify.com/artist/3aJN1nL3j6SlzSwYti3bvq
medium_term,15,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,https://open.spotify.com/artist/20JZFwl6HVl6yg8a4H3ZqK
medium_term,16,CORPSE,7yntSJ6uojO3z6GFUVwhAW,spotify:artist:7yntSJ6uojO3z6GFUVwhAW,https://open.spotify.com/artist/7yntSJ6uojO3z6GFUVwhAW
medium_term,17,Arrows in Action,467o5z7PYxbXFAGA0mvhAQ,spotify:artist:467o5z7PYxbXFAGA0mvhAQ,https://open.spotify.com/artist/467o5z7PYxbXFAGA0mvhAQ
medium_term,18,The Home Team,0hp58JplihFjlLstUbKS0x,spotify:artist:0hp58JplihFjlLstUbKS0x,https://open.spotify.com/artist/0hp58JplihFjlLstUbKS0x
medium_term,19,Forever The Sickest Kids,4frytKnOBrer4QVPWynGtX,spotify:artist:4frytKnOBrer4QVPWynGtX,https://open.spotify.com/artist/4frytKnOBrer4QVPWynGtX
medium_term,20,Hayley Williams,6Rx1JKzBrSzoKQtmbVmBnM,spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM,https://open.spotify.com/artist/6Rx1JKzBrSzoKQtmbVmBnM
medium_term,21,I DONT KNOW HOW BUT THEY FOUND ME,0Raaw7kr1Vzat4ZvHzjsJR,spotify:artist:0Raaw7kr1Vzat4ZvHzjsJR,https://open.spotify.com/artist/0Raaw7kr1Vzat4ZvHzjsJR
