time_range,rank,track_name,track_id,artist_names,album_name,album_release_date,duration_ms,explicit,isrc,spotify_url,album_image_url
short_term,27,IDWT$,0zMXsTdsUUoIbCrtUXsNyc,Bad Omens,THE DEATH OF PEACE OF MIND,2022-02-25,202952,False,USYFZ2264212,https://open.spotify.com/track/0zMXsTdsUUoIbCrtUXsNyc,https://i.scdn.co/image/ab67616d0000b273bafcef0262b82dec233717e2
short_term,28,Dangerous,105Fwh9wijwT41rrfgSnrE,Sleep Token,Even In Arcadia,2025-05-09,251373,False,USRC12500016,https://open.spotify.com/track/105Fwh9wijwT41rrfgSnrE,https://i.scdn.co/image/ab67616d0000b273882265cd9bdded9ea9a153b9
short_term,29,Like That,15cTEbiZNdgBr22kefKehi,Sleep Token,This Place Will Become Your Tomb,2021-09-24,214906,False,GBUM72101266,https://open.spotify.com/track/15cTEbiZNdgBr22kefKehi,https://i.scdn.co/image/ab67616d0000b27336afd3d53b6dcc59f3563cf9
short_term,30,LIKE A VILLAIN (LIVE 2024),1trY0YSSEfiMC70Ts9XlqR,Bad Omens,CONCRETE JUNGLE [THE OST],2024-05-31,250000,True,USYFZ2408319,https://open.spotify.com/track/1trY0YSSEfiMC70Ts9XlqR,https://i.scdn.co/image/ab67616d0000b2737400362388ac9ab2a807e597
short_term,31,Impose,3kMc83bWNdcaX1dmARQIII,Bad Omens,Impose,2025-09-10,263198,False,USFYZ2561401,https://open.spotify.com/track/3kMc83bWNdcaX1dmARQIII,https://i.scdn.co/image/ab67616d0000b273ae556ca83bfb43f60928cb66
short_term,32,The Worst In Me,3nRwDWuop6A8uaBmf4V73J,Bad Omens,Bad Omens,2016-08-19,229209,True,USYFZ1566203,https://open.spotify.com/track/3nRwDWuop6A8uaBmf4V73J,https://i.scdn.co/image/ab67616d0000b273ef21fc72f79bbe39944c6dba
short_term,33,BPD,3yYzGg1g6H8TIRpOFlzdez,YNG Martyr,CHALANT,2026-03-27,133480,True,AUGBT2516461,https://open.spotify.com/track/3yYzGg1g6H8TIRpOFlzdez,https://i.scdn.co/image/ab67616d0000b2730727da7fc4a90da6149d634a
short_term,34,Sticky Fingers,5AVpFZe1XgyzicUndjla4W,Ashnikko,Smoochies,2025-10-17,133004,True,GBAYE2500677,https://open.spotify.com/track/5AVpFZe1XgyzicUndjla4W,https://i.scdn.co/image/ab67616d0000b27341d5837533dcb87b461ea040
short_term,35,Somebody else.,5FGAJHuooznHOQeDzoQzkA,Bad Omens,THE DEATH OF PEACE OF MIND,2022-02-25,236730,False,USYFZ2264211,https://open.spotify.com/track/5FGAJHuooznHOQeDzoQzkA,https://i.scdn.co/image/ab67616d0000b273bafcef0262b82dec233717e2
short_term,36,JUST PRETEND (LIVE 2024),5O1j24fnH7XE66lf0Fns4u,Bad Omens,CONCRETE JUNGLE [THE OST],2024-05-31,587633,False,USYFZ2408325,https://open.spotify.com/track/5O1j24fnH7XE66lf0Fns4u,https://i.scdn.co/image/ab67616d0000b2737400362388ac9ab2a807e597
